Level,Recommendations
2,additional way find sign outside inside building must provide likewise painting pathway match exist old green suggest
2,provide appropriate facility person disability pwd
2,finish plaster newly construct wing college building recommend
2,material recovery facility require operate regularly
2,regularannual pest control check maintenance building office classroom important facilitites
2,functional drinking facility instal inside college indoor facility athletics
2,college canteen improve budget warrant construct new building food service accomodate student
2,comfort room maintain properly
2,landscape open space roof stage suggest make functional
2,dedicate faculty lounge provide aside space inside faculty room faculty relax receive visitor
2,completion powerhouse suggest provide electrical service campus
