Level,Recommendations
1,the site planvicinity map near the main gate of the campus should be instal
1,the student restroom must be give due attention and priority in the college clean and green projectsactivities
1,it is suggest to come up with a workable solution as to the provision of continuous and sustainable clean safe and free potable water for the student
1,it is suggest to continue the construction of cover walk to connect closely related building
1,while the building in we be construct for same act prepare it may be nice to relocate some chalk board in some classroom to allow well light and ventilation
1,a system have to be devise to institutionalize the follow a potability test and drinking water b rest control infection c check of electrical line
1,it is recommend that segregation of water must be do from collection to disposal
1,where appropriate relevant support document in term of pictorial communication accomplishment reportsaction plan program listing duly sign may be provide
1,to promoteadvertisemarket the program to attract more enrollee and thus close the gap of the per caput to physical resource expense ratio
1,room utilization guide should be post near the entrance of the classroom
