Level,Recommendations
1,ssd ensure allocation procurement psychological test readily available university psychometrician encourage undergo training handle various psychological test could allow purchase
1,result psychological test productively transmit immediately concerned unit guidance counsellor could provide immediate inputcounselling student
1,aside office guidance counsellor student service office consider provision counsel cubicle college counsel unit ensure privacy counsel session
1,collaborative tracer study consider priority study faculty get feedback student perform graduation get input curricular revisionenrichment
1,department chair consider system monitoring strictly academic advise consultation attend faculty
1,rehabilitation old dormitory consider top priority not_to compromise safety comfort resident
1,university consider upgrade sport facility equipment cope requirement program function room gymnasium consider
1,data generate regard student dropout rate transferee shifter need process analyse provide policy direction college administrator
1,puttingup departmental student publication consider provide student venue artistic expression voice opinion also serve venue information dissemination
1,university take high priority provision drinking fountain provide student ready potable water construction student center consider also disbursement student development fee
1,college dean department chairperson encourage communicate action take regard issue raise student student dean dialog promote transparentopen communication student
