Level,Recommendations
psv,highly recommend faculty counterpart attach pertinent support document order comprehensive package documentation activity college document planning implementation stage
psv,student not_be neglect policy planning activity institution college specifically policy directly affect
psv,filing document record management office organize systematic document easily found retrieve need
psv,maintain standard institution recommend different specific guideline policy must strictly observe implement regular assessment review regard extent implementation
psv,budget allows recommend college provide full time laboratory custodiantechnician manage maintain equipment
psv,short long term development plan monitor evaluate
psv,different social activity regularly strengthen harmonious work relationship mmsu family
psv,college must provide specific budget allocation operation
psv,faculty honorarium pay excess teach load include budget preparation release time
psv,administration formulate promotional scheme attract student enroll chemical engineering department
