Level,Recommendations
2,since campus large area building quite far campus vicinity map prominently displayed university gate serve guide visitor stakeholder not_familiar area
2,electrical line fixture appliance orbit fan building properly maintain bust lamp nonoperational switch convenient outlet orbit fan recommend replace repair
2,endeavour devise effective mechanism maintenance building equipment facility toilet lavatory water system university
2,consider transfer college student center spacious room complete recreational equipment facility budget warrant repairrehabilitation repaint men dormitory recommend provision closet study table every room also suggest
2,strict implementation dormitory rule regulation eg not_allowing dorm occupant cook inside room safety provision adequate useable fire extinguisher also recommend
2,effective efficient management dormitory consider hire additional personnel manage dorm matron lady dorm rather men lady dorm manage single person
2,periodic systematic inventory physical facility equipment
2,since potability test water source campus reveal contaminate coliform ecoli university consider put filteringpurifying system order protect constituent affected say microorganism
2,floor plan indicate fire exit location firefighting equipment prominently displayed building
2,bulletin display board maintain regularly update
2,cleanliness sanitation university food service center must give priority window screen processing cooking area must kept clean order time
2,nonserviceable condemn furniture equipment dispose store properly
2,fund available consider construct grandstand athletic groundoval
