Level,Recommendations
1,additional way find sign outside inside building must provide ise painting pathway match exist old green suggest
1,provide appropriate facility person disability pwd
1,finish plaster newly construct wing college building recommend
1,material recovery facility require operate regularly
1,regularannual pest control check maintenance building office classroom important facility
1,functional drinking facility instal inside college indoor facility athletics
1,college canteen improve budget warrant construct new building food service accommodate student
1,comfort room maintain properly
1,landscape open space roof stage suggest make functional
1,dedicate faculty lounge provide aside space inside faculty room faculty relax receive visitor
1,completion powerhouse suggest provide electrical service campus
